Item,Qty,Reference(s),Value,Description,Digikey
1,2,"C101, C102",10uF,CAP CER 10UF 16V X5R 0805,1276-1096-1-ND
2,1,CON101,JTAG-2X3-1.27MM-HDR,USB BLASTER JTAG 2X3 HEADER,2057-HPH2-A-06-UA-ND
3,1,CON102,USB-B1HSB6,CONN USB TYPE B R/A BLACK,ED2983-ND
4,1,CON103,JTAG-2X5-HDR-SHROUD,USB BLASTER JTAG 2X5 HEADER,ED1543-ND
5,1,CON104,HDR1X3,CONN HEADER 3 POS 2.54,732-5316-ND
6,1,CON105,HDR1X2,SIL VERTICAL PC TAIL PIN HEADER,952-2262-ND
9,1,U101,AZ1117CH-3.3TRG1,IC REG LINEAR 3.3V 800MA SOT223,AZ1117CH-3.3TRG1DICT-ND
